payment_id,settlement_id,bank_transaction_ids,expected_status,scenario
PAY-0001,SET-0001,BANK-0001,matched,exact_match
PAY-0002,SET-0002,BANK-0002,matched,exact_match
PAY-0003,SET-0003,BANK-0003,matched,exact_match
PAY-0004,SET-0004,BANK-0004,matched,exact_match
PAY-0005,SET-0005,BANK-0005,matched,exact_match
PAY-0006,SET-0006,BANK-0006,matched,exact_match
PAY-0007,SET-0007,BANK-0007,matched,exact_match
PAY-0008,SET-0008,BANK-0008,matched,exact_match
PAY-0009,SET-0009,BANK-0009,matched,exact_match
PAY-0010,SET-0010,BANK-0010,matched,exact_match
PAY-0011,SET-0011,BANK-0011,matched,exact_match
PAY-0012,SET-0012,BANK-0012,matched,exact_match
PAY-0013,SET-0013,BANK-0013,matched,exact_match
PAY-0014,SET-0014,BANK-0014,matched,exact_match
PAY-0015,SET-0015,BANK-0015,matched,exact_match
PAY-0016,SET-0016,BANK-0016,matched,exact_match
PAY-0017,SET-0017,BANK-0017,matched,exact_match
PAY-0018,SET-0018,BANK-0018,matched,exact_match
PAY-0019,SET-0019,BANK-0019,matched,exact_match
PAY-0020,SET-0020,BANK-0020,matched,exact_match
PAY-0021,SET-0021,BANK-0021,matched,exact_match
PAY-0022,SET-0022,BANK-0022,matched,exact_match
PAY-0023,SET-0023,BANK-0023,matched,exact_match
PAY-0024,SET-0024,BANK-0024,matched,exact_match
PAY-0025,SET-0025,BANK-0025,matched,exact_match
PAY-0026,SET-0026,BANK-0026,matched,exact_match
PAY-0027,SET-0027,BANK-0027,matched,exact_match
PAY-0028,SET-0028,BANK-0028,matched,exact_match
PAY-0029,SET-0029,BANK-0029,matched,exact_match
PAY-0030,SET-0030,BANK-0030,matched,exact_match
PAY-0031,SET-0031,BANK-0031,matched,exact_match
PAY-0032,SET-0032,BANK-0032,matched,exact_match
PAY-0033,SET-0033,BANK-0033,matched,exact_match
PAY-0034,SET-0034,BANK-0034,matched,exact_match
PAY-0035,SET-0035,BANK-0035,matched,exact_match
PAY-0036,SET-0036,BANK-0036,matched,exact_match
PAY-0037,SET-0037,BANK-0037,matched,exact_match
PAY-0038,SET-0038,BANK-0038,matched,exact_match
PAY-0039,SET-0039,BANK-0039,matched,exact_match
PAY-0040,SET-0040,BANK-0040,matched,exact_match
PAY-0041,SET-0041,BANK-0041,matched,exact_match
PAY-0042,SET-0042,BANK-0042,matched,exact_match
PAY-0043,SET-0043,BANK-0043,matched,exact_match
PAY-0044,SET-0044,BANK-0044,matched,exact_match
PAY-0045,SET-0045,BANK-0045,matched,exact_match
PAY-0046,SET-0046,BANK-0046,matched,exact_match
PAY-0047,SET-0047,BANK-0047,matched,exact_match
PAY-0048,SET-0048,BANK-0048,matched,exact_match
PAY-0049,SET-0049,BANK-0049,matched,exact_match
PAY-0050,SET-0050,BANK-0050,matched,exact_match
PAY-0051,SET-0051,BANK-0051,ambiguous_review,ambiguous_review
PAY-0052,SET-0052,BANK-0052,ambiguous_review,ambiguous_review
PAY-0053,SET-0053,BANK-0053,ambiguous_review,ambiguous_review
PAY-0054,SET-0054,BANK-0054,ambiguous_review,ambiguous_review
PAY-0055,SET-0055,BANK-0055,ambiguous_review,ambiguous_review
PAY-0056,SET-0056,BANK-0056,ambiguous_review,ambiguous_review
PAY-0057,SET-0057,BANK-0057,ambiguous_review,ambiguous_review
PAY-0058,SET-0058,BANK-0058,ambiguous_review,ambiguous_review
PAY-0059,SET-0059,BANK-0059,ambiguous_review,ambiguous_review
PAY-0060,SET-0060,BANK-0060,ambiguous_review,ambiguous_review
PAY-0061,SET-0061,BANK-0061,matched_after_reference_normalization,reference_formatting_difference
PAY-0062,SET-0062,BANK-0062,matched_after_reference_normalization,reference_formatting_difference
PAY-0063,SET-0063,BANK-0063,matched_after_reference_normalization,reference_formatting_difference
PAY-0064,SET-0064,BANK-0064,matched_after_reference_normalization,reference_formatting_difference
PAY-0065,SET-0065,BANK-0065,matched_after_reference_normalization,reference_formatting_difference
PAY-0066,SET-0066,BANK-0066,matched_after_merchant_normalization,merchant_spelling_difference
PAY-0067,SET-0067,BANK-0067,matched_after_merchant_normalization,merchant_spelling_difference
PAY-0068,SET-0068,BANK-0068,matched_after_merchant_normalization,merchant_spelling_difference
PAY-0069,SET-0069,BANK-0069,matched_after_merchant_normalization,merchant_spelling_difference
PAY-0070,SET-0070,BANK-0070,matched_after_merchant_normalization,merchant_spelling_difference
PAY-0071,SET-0071,BANK-0071,matched_with_date_offset,date_offset
PAY-0072,SET-0072,BANK-0072,matched_with_date_offset,date_offset
PAY-0073,SET-0073,BANK-0073,matched_with_date_offset,date_offset
PAY-0074,SET-0074,BANK-0074,matched_with_date_offset,date_offset
